ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0.009577,-0.244209,10.137050,0.031443,0.055957,-0.016920
-0.026336,-0.253785,10.139444,0.031043,0.056623,-0.019052
0.009577,-0.246603,10.194510,0.031443,0.056357,-0.020384
-0.026336,-0.275333,10.156203,0.031043,0.055557,-0.018253
-0.002394,-0.229843,10.266336,0.031309,0.057689,-0.018652
-0.026336,-0.275333,10.232818,0.031043,0.055557,-0.018652
-0.002394,-0.292093,10.189722,0.031975,0.055957,-0.018652
0.031125,-0.270545,10.139444,0.029577,0.056623,-0.019718
0.028730,-0.323217,10.211270,0.030776,0.056757,-0.018786
0.040701,-0.248997,10.141838,0.030643,0.055424,-0.017054
0.007183,-0.251391,10.151415,0.031309,0.055291,-0.017054
0.002394,-0.260968,10.177752,0.031709,0.055957,-0.019585
0.000000,-0.225055,10.177752,0.031043,0.056890,-0.020118
-0.016759,-0.263362,10.230424,0.031176,0.057423,-0.020118
-0.007183,-0.270545,10.189722,0.032375,0.055557,-0.019452
0.026336,-0.280122,10.160992,0.031443,0.055957,-0.020118
0.004788,-0.239420,10.165780,0.031309,0.055424,-0.018652
-0.023942,-0.217872,10.141838,0.031842,0.057023,-0.018386
0.011971,-0.280122,10.232818,0.031842,0.054891,-0.018519
-0.002394,-0.284910,10.182540,0.031975,0.055025,-0.018919
-0.019154,-0.253785,10.189722,0.031443,0.056224,-0.019718
-0.033519,-0.296881,10.184934,0.031043,0.055158,-0.018519
0.000000,-0.260968,10.213664,0.031043,0.055824,-0.020118
0.019154,-0.253785,10.254366,0.031842,0.055957,-0.018786
0.011971,-0.272939,10.149021,0.032109,0.056490,-0.018386
0.028730,-0.294487,10.156203,0.031576,0.057556,-0.018919
-0.026336,-0.251391,10.201694,0.030910,0.057023,-0.019185
-0.035913,-0.217872,10.187328,0.031176,0.056890,-0.019052
0.033519,-0.268151,10.196905,0.031842,0.055557,-0.019585
-0.021548,-0.260968,10.201694,0.031443,0.055025,-0.018919
-0.019154,-0.292093,10.165780,0.031709,0.055824,-0.019185
0.016759,-0.260968,10.139444,0.031842,0.056757,-0.019985
0.057461,-0.289698,10.189722,0.031709,0.057156,-0.019718
-0.023942,-0.258574,10.151415,0.031176,0.057956,-0.019452
-0.043096,-0.253785,10.163386,0.031176,0.057822,-0.018386
0.019154,-0.301669,10.170568,0.031709,0.056623,-0.018919
-0.028730,-0.275333,10.146626,0.032375,0.058222,-0.018519
0.016759,-0.265756,10.206482,0.031842,0.056890,-0.017587
-0.028730,-0.251391,10.180145,0.031709,0.057556,-0.018919
-0.009577,-0.248997,10.180145,0.031309,0.057023,-0.017720
-0.023942,-0.294487,10.177752,0.032508,0.054891,-0.018253
-0.043096,-0.246603,10.177752,0.031709,0.056224,-0.017453
0.002394,-0.270545,10.211270,0.030910,0.055957,-0.017320
-0.031125,-0.265756,10.149021,0.030510,0.055957,-0.018119
0.007183,-0.282516,10.139444,0.030510,0.056224,-0.019052
-0.047884,-0.260968,10.206482,0.030510,0.056090,-0.018652
0.028730,-0.282516,10.160992,0.031975,0.057023,-0.019319
-0.014365,-0.241814,10.199299,0.031309,0.057289,-0.018786
0.011971,-0.282516,10.180145,0.030243,0.057956,-0.018652
